"index","book_id","book_title","publication_info","author","num_ratings","num_reviews","average_rating","publication_date"
205,2341,"Tommo and Hawk","First published ","Bryce Courtenay",7372,293,"4.09","1998-01-01"
206,2369,"The Great Bridge: The Epic Story of the Building of the Brooklyn Bridge","First published ","David McCullough",16943,1767,"4.25","1972-01-01"
207,2373,"The Bone Collector","First published ","Jeffery Deaver",180076,3719,"4.20","1997-01-03"
208,2442,"Witches Abroad","First published ","Terry Pratchett",89764,3095,"4.25","1991-01-01"
209,2493,"The Time Machine","First published ","H.G. Wells",521273,16411,"3.90","1895-01-01"
211,2517,"My Name Is Red","First published ","Orhan Pamuk",56676,5227,"3.87","1998-01-01"
212,2526,"Blindness","First published ","José Saramago",291884,24238,"4.17","1995-01-01"
213,2528,"All the Names","First published ","José Saramago",21879,1746,"3.91","1997-01-01"
214,2530,"Baltasar and Blimunda","First published ","José Saramago",22934,1268,"3.93","1982-01-01"
215,2531,"The Cave","First published ","José Saramago",14979,1348,"3.88","2000-01-01"
216,2535,"The Stone Raft","First published ","José Saramago",8821,656,"3.82","1986-01-01"
217,2536,"The Year of the Death of Ricardo Reis","First published ","José Saramago",13020,950,"4.00","1984-01-01"
218,2544,"The Madman","First published ","Kahlil Gibran",10903,1034,"4.00","1918-08-20"
219,2547,"The Prophet","First published ","Kahlil Gibran",300143,14554,"4.23","1923-01-01"
220,2567,"Aké: The Years of Childhood","First published ","Wole Soyinka",1951,181,"3.87","1981-01-01"
221,2574,"The Long Tail: Why the Future of Business is Selling Less of More","First published ","Chris Anderson",29613,769,"3.82","2006-07-11"
222,2612,"The Tipping Point: How Little Things Can Make a Big Difference","First published ","Malcolm Gladwell",816353,16177,"4.00","2002-01-01"
223,2623,"Great Expectations","First published ","Charles Dickens",805941,22376,"3.79","1860-07-30"
224,2654,"To Kill a Mockingbird","First published ","Harper Lee",6158672,118117,"4.26","1960-07-11"
